Revolution,Anti Hero,IPA,6.5%,Chicago,IL,0,0,0,,,
Rhinegeist,Cafe Ink,Imp. Stout,10%,Cincinnati,OH,1,0,0,,,
Rhinegeist,BA Big Willy,Scotch Ale,10.7%,Cincinnati,OH,0,1,0,,,
Rhinegeist,Bubbles,Cider,6.2%,Cincinnati,OH,0,0,1,,,
Rhinegeist,Fiction,Pale Ale,6%,Cincinnati,OH,0,0,0,,,
Rhinegeist,Gramma,Stout,6%,Cincinnati,OH,0,0,0,,,
Rhinegeist,Knowledge,DIPA,8.5%,Cincinnati,OH,0,0,0,,,
Rhinegeist,Squirrel,Brown Ale,4.8%,Cincinnati,OH,0,0,0,,,
Rivertowne,Hala Kahiki,Pineapple,4.8%,Export,PA,0,0,0,,,
Rivertowne,JFP Porter,Porter,5%,Export,PA,0,0,0,,,
ROGUE ALES,COLD BREW IPA,MAIBOCK,6.5%,Newport  ,OR,0,0,0,,IPA - American,7.5
ROGUE ALES,HAZELUTELY CHOCTABULOUS,STOUT,5.8%,Newport,OR,0,0,0,,Other,5.7
ROGUE ALES,STRAIGHT OUTTA NEWPORT,BROWN ALE,6.2%,Newport,OR,0,0,0,,,
ROGUE ALES,YELLOW SNOW PILSNER,IPA,6.6%,Newport ,OR,0,0,0,,,
ROYAL DOCKS,44,Brown Ale,5%,Canton,OH,0,0,0,,,
ROYAL DOCKS,67 Alaska,Kölsch,5.2%,Canton,OH,0,0,0,,,
ROYAL DOCKS,Deathly Mallows,Milk Stout,6.4%,Canton,OH,0,0,0,,,
ROYAL DOCKS,Tanglefoot IPA,IPA,6.3%,Canton,OH,0,0,0,,,
Rustyrail,Fools Gold,Hefeweizen,8%,Mifflinberg,PA,0,0,0,,,
Rustyrail,Train Wreck,DIPA,5.4%,Mifflinberg,PA,0,0,0,,,
Sam Adams,NE IPA,IPA,6.8%,Boston,MA,0,0,0,,,
Sam Adams,SAM 76,Lager,4.7%,Boston,MA,0,0,0,,,
Saucy,Wild Type Cherry,Sour Ale,N/A,Cleveland ,OH,1,0,0,,,
Saucy,Drifter sour blonde,Sour Ale,N/A,Cleveland ,OH,0,1,0,,,
Saucy,Fauxbia,Stout,5.9%,Cleveland ,OH,0,0,0,,,
Saucy,HabituAle,Kolsch,5.3%,Cleveland ,OH,0,0,0,,,
Saucy,Punchline,Fruit Ale,5.7%,Cleveland ,OH,0,0,1,,,
Saucy,TBD,,N/A,Cleveland ,OH,0,0,0,,,
Saugatuck,Nitro Blueberry Maple stout,Milk Stout,6%,Douglas,MI,0,0,0,,,
Saugatuck,Nitro Neopolitan Milk Stout,Milk Stout,6%,Douglas,MI,0,0,0,,,
Schoenling,Little Kings,Cream Ale,5.5%,Cincinnati ,OH,0,0,0,,,
Schofferhofer,Grapefruit Hefeweizen,Hefeweizen,3.5%,Frankfurt,Germany,0,0,1,,,
Seventh Son,Baphomet,Tripel,10.2%,Columbus,OH,0,0,0,,,
Seventh Son,Fox in the Stout,Stout,9%,Columbus,OH,0,0,0,,,
Seventh Son,Proliferous,DIPA,8.3%,Columbus,OH,0,0,0,,,
Shacksbury,Arlo,Cider,6%,Vergennes,VT,0,0,0,,,
Shacksbury,Dry,Cider,5%,Vergennes,VT,0,0,0,,,
Sibling Revelry,"Ohneipa, Hazy NE IPA",IPA%,7.2,Westlake,1,0,0,,,
Sibling Revelry,Pecan Brown Ale,Brown ,6.4%,Westlake,OH,0,0,0,,,
Sibling Revelry,Third Wheel,Belgian Tripel,9.2%,Westlake,OH,0,0,0,,,
Sierra Nevada,BA Trip in the woods Biere De Garde,Biere De Garde,9.8%,Chico,CA,0,1,0,,,
Sierra Nevada,BA Ginger Bigfoot,Barleywine,11.9%,Chico,CA,0,1,0,,,
Sierra Nevada,BA Narwhal with Cocoa,Imperial Stout,11.3%,Chico,CA,0,1,0,,,
Sierra Nevada,Hazy Little Thing,IPA,6.7%,Chico,CA,0,0,0,,,
